date,open,high,low,close,adj_close,volume
2006-10-03 09:30:00-04:00,27.37,27.48,27.21,27.37,20.32,39386200.0
2006-10-04 09:30:00-04:00,27.39,27.96,27.37,27.94,20.74,82191200.0
2006-10-05 09:30:00-04:00,27.92,28.11,27.78,27.92,20.73,81967200.0
2006-10-06 09:30:00-04:00,27.76,28.0,27.65,27.87,20.69,36452200.0
2006-10-09 09:30:00-04:00,27.8,27.93,27.62,27.72,20.58,33366300.0
2006-10-10 09:30:00-04:00,27.69,27.75,27.44,27.69,20.56,34598500.0
2006-10-11 09:30:00-04:00,27.46,27.67,27.42,27.54,20.45,37219600.0
2006-10-12 09:30:00-04:00,27.58,28.29,27.54,28.22,20.95,120174900.0
2006-10-13 09:30:00-04:00,28.34,28.69,28.31,28.37,21.06,129751900.0
2006-10-16 09:30:00-04:00,28.48,28.6,28.33,28.45,21.12,49744800.0
2006-10-17 09:30:00-04:00,28.24,28.51,28.17,28.44,21.12,40122600.0
2006-10-18 09:30:00-04:00,28.5,28.7,28.26,28.52,21.18,40630800.0
2006-10-19 09:30:00-04:00,28.35,28.45,28.12,28.29,21.0,44730800.0
2006-10-20 09:30:00-04:00,28.48,28.49,28.17,28.43,21.11,48887800.0
2006-10-23 09:30:00-04:00,28.3,28.69,28.18,28.45,21.12,48525000.0
2006-10-24 09:30:00-04:00,28.43,28.43,28.13,28.28,21.0,61409600.0
2006-10-25 09:30:00-04:00,28.28,28.46,28.14,28.31,21.02,40717100.0
2006-10-26 09:30:00-04:00,28.33,28.41,28.04,28.35,21.05,69964200.0
2006-10-27 09:30:00-04:00,28.49,28.79,28.25,28.34,21.04,89060100.0
2006-10-30 09:30:00-05:00,28.35,28.84,28.32,28.53,21.18,47296800.0
2006-10-31 09:30:00-05:00,28.66,28.85,28.56,28.71,21.32,61861700.0
2006-11-01 09:30:00-05:00,28.78,28.99,28.7,28.81,21.39,75895900.0
2006-11-02 09:30:00-05:00,28.71,28.86,28.58,28.77,21.36,58674400.0
2006-11-03 09:30:00-05:00,28.85,28.93,28.61,28.73,21.33,41124500.0
2006-11-06 09:30:00-05:00,28.77,29.05,28.76,28.84,21.41,60446200.0
2006-11-07 09:30:00-05:00,28.86,29.07,28.8,28.95,21.49,56511200.0
2006-11-08 09:30:00-05:00,28.78,29.23,28.66,28.98,21.52,77403300.0
2006-11-09 09:30:00-05:00,29.11,29.4,29.0,29.26,21.72,89407500.0
2006-11-10 09:30:00-05:00,29.17,29.29,29.15,29.24,21.71,37855100.0
2006-11-13 09:30:00-05:00,29.19,29.46,29.16,29.35,21.79,47271800.0
2006-11-14 09:30:00-05:00,29.28,29.42,29.07,29.23,21.78,63012500.0
2006-11-15 09:30:00-05:00,29.13,29.36,29.11,29.12,21.69,63943200.0
2006-11-16 09:30:00-05:00,29.14,29.64,29.13,29.47,21.96,64328500.0
2006-11-17 09:30:00-05:00,29.31,29.54,29.28,29.4,21.9,49356700.0
2006-11-20 09:30:00-05:00,29.52,30.0,29.5,29.89,22.27,85703800.0
2006-11-21 09:30:00-05:00,29.91,30.0,29.79,29.92,22.29,66446600.0
2006-11-22 09:30:00-05:00,29.97,30.0,29.82,29.92,22.29,43907200.0
2006-11-24 09:30:00-05:00,29.66,29.84,29.64,29.76,22.17,20456700.0
2006-11-27 09:30:00-05:00,29.69,29.74,29.33,29.48,21.96,72722100.0
2006-11-28 09:30:00-05:00,29.34,29.42,29.13,29.39,21.9,52602300.0
2006-11-29 09:30:00-05:00,29.44,29.78,29.43,29.57,22.03,58775100.0
2006-11-30 09:30:00-05:00,29.42,29.57,29.33,29.36,21.87,53297400.0
2006-12-01 09:30:00-05:00,29.23,29.3,28.9,29.12,21.69,72257000.0
2006-12-04 09:30:00-05:00,29.23,29.52,29.17,29.33,21.85,55123400.0
2006-12-05 09:30:00-05:00,29.36,29.4,29.03,29.13,21.7,45606000.0
2006-12-06 09:30:00-05:00,29.1,29.13,28.87,28.99,21.6,48564100.0
